,Date,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,count,count_xgb1,count_xgb2,count_dt,count_lr,error_xgb1,error_xgb2,error_dt,error_lr,count_xgb_day,count_xgb_night,error_xgb_day,error_xgb_night,count_xgb_summer,count_xgb_winter,error_xgb_summer,error_xgb_winter
607,2017-12-26,7,-2.9,73,1.9,1911,-7.0,0.0,0.0,0.0,Winter,No Holiday,Yes,296,292.33447,283.7346,373.0,-62.57778266762392,3.66552734375,12.265411376953125,-77.0,358.5777826676239,209.99092,117.26646,86.00907897949219,178.7335433959961,424.74573,269.80634,-128.7457275390625,26.19366455078125
868,2018-01-06,4,-5.9,61,1.1,1260,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,61,122.7041,39.305447,47.0,-138.293465760468,-61.7041015625,21.69455337524414,14.0,199.293465760468,339.34152,102.16116,-278.3415222167969,-41.161163330078125,204.25002,75.081215,-143.25001525878906,-14.081214904785156
3316,2018-04-18,4,7.2,49,0.8,1546,-2.8,0.0,0.0,0.0,Spring,No Holiday,Yes,105,193.45955,103.513245,102.0,527.9987784747361,-88.45954895019531,1.48675537109375,3.0,-422.9987784747361,386.78082,196.0124,-281.78082275390625,-91.01240539550781,151.76956,125.28515,-46.769561767578125,-20.28514862060547
1648,2018-02-07,16,-1.7,18,2.0,1919,-22.9,1.41,0.0,0.0,Winter,No Holiday,Yes,240,295.65924,244.53752,221.0,506.1723758418167,-55.65924072265625,-4.5375213623046875,19.0,-266.1723758418167,259.44507,385.91757,-19.445068359375,-145.91757202148438,1341.5294,232.19334,-1101.5294189453125,7.8066558837890625
3919,2018-05-13,7,13.7,98,1.6,468,13.3,0.1,0.0,0.0,Spring,No Holiday,Yes,220,545.4286,484.06155,1551.0,352.1716551725708,-325.4285888671875,-264.0615539550781,-1331.0,-132.1716551725708,223.72768,267.88098,-3.7276763916015625,-47.8809814453125,987.66693,417.7195,-767.6669311523438,-197.71951293945312
251,2017-12-11,11,-4.7,36,3.8,2000,-17.5,1.0,0.0,0.0,Winter,No Holiday,Yes,226,275.8911,239.83707,150.0,264.4965452002626,-49.89111328125,-13.837066650390625,76.0,-38.496545200262574,199.46294,254.89964,26.537063598632812,-28.899642944335938,775.96106,266.70868,-549.9610595703125,-40.70867919921875
2667,2018-03-22,3,1.3,87,1.7,822,-0.6,0.0,0.0,0.0,Spring,No Holiday,Yes,107,138.77405,155.01321,128.0,31.57889624223384,-31.7740478515625,-48.013214111328125,-21.0,75.42110375776616,145.80882,170.00238,-38.80882263183594,-63.00238037109375,276.03076,125.44271,-169.03076171875,-18.442710876464844
5353,2018-07-12,1,26.6,80,0.0,1485,22.8,0.0,0.0,0.0,Summer,No Holiday,Yes,787,734.94196,732.57416,498.0,678.2832458584016,52.05804443359375,54.42584228515625,289.0,108.71675414159836,795.46387,1120.189,-8.4638671875,-333.18896484375,636.7892,369.19144,150.2108154296875,417.8085632324219
2745,2018-03-25,9,6.3,73,1.3,218,1.8,0.79,0.0,0.0,Spring,No Holiday,Yes,331,483.83954,517.92523,354.0,382.84583384008283,-152.83953857421875,-186.92523193359375,-23.0,-51.84583384008283,461.22507,503.11295,-130.22506713867188,-172.11294555664062,1148.1489,367.33008,-817.14892578125,-36.330078125
7492,2018-10-09,4,11.0,63,0.8,2000,4.2,0.0,0.0,0.0,Autumn,Holiday,No,0,32.588562,4.333544,0.0,-410.7353361937594,-32.58856201171875,-4.33354377746582,0.0,410.7353361937594,-29.944544,64.98781,29.944543838500977,-64.98780822753906,315.22824,229.98172,-315.2282409667969,-229.98171997070312
7115,2018-09-23,11,20.1,57,3.0,1929,11.3,1.29,0.0,0.0,Autumn,Holiday,Yes,764,973.4311,903.6847,1095.0,945.7762259882744,-209.43109130859375,-139.6846923828125,-331.0,-181.7762259882744,941.8712,1779.754,-177.8712158203125,-1015.7540283203125,1127.071,482.7647,-363.071044921875,281.23529052734375
